ref,study,doi,source_type,n_datapoints
WEB-Jiang2024,A Study of Water-Based Nanolubricants Using Hexagonal Boron Nitride (hBN)-Based Nanocomposites as Lubricant Additives,10.3390/lubricants12040123,web-OA,2
[66],Ali 2016 RSC Adv,10.1039/c6ra10543b,folder-PDF,3
[65],Ali 2016 Tribol Int,10.1016/j.triboint.2016.08.011,folder-PDF,2
[64],Ali 2018 Tribol Int,10.1016/j.triboint.2018.04.004,folder-PDF,3
[50],Alves 2013 Tribol Int,10.1016/j.triboint.2013.03.027,folder-PDF,8
[59],Alves 2016 Tribol Int,10.1016/j.triboint.2016.01.050,folder-PDF,3
[68],Awang 2019 Int J Heat Mass Transf,10.1016/j.ijheatmasstransfer.2018.11.128,folder-PDF,4
[28],Azman 2018 Green Mater,10.1680/jgrma.17.00026,folder-PDF,1
WEB-Bashiri2025,"Bashiri et al., Forsch. Ingenieurwes. (2025)",10.1007/s10010-025-00920-0,web-OA,2
WEB-Bojarska2023,"Bojarska et al., Sci. Rep. 13 (2023)",10.1038/s41598-023-39933-6,web-OA,4
[45],Chang 2015 J Comput Theor Nanosci,10.1166/jctn.2015.3816,folder-PDF,3
[22],Chou 2010 Tribol Int,10.1016/j.triboint.2010.08.006,folder-PDF,3
[32],Cortes & Ortega 2019 Lubricants,10.3390/lubricants7090076,folder-PDF,10
WEB-Khalid2023,Enhanced Tribological Behaviour of Hybrid MoS2@Ti3C2 MXene as an Effective Anti-Friction Additive in Gasoline Engine Oil,10.3390/lubricants11020047,web-OA,3
[33],Eswaraiah 2011 ACSAMI,10.1021/am200851z,folder-PDF,4
[21],Flores-Castaneda 2015 J Alloys Compd,10.1016/j.jallcom.2014.12.054,folder-PDF,2
WEB-Xie2022,Friction and Wear Properties of a Nanoscale Ionic Liquid-like GO@SiO2 Hybrid as a Water-Based Lubricant Additive,10.3390/lubricants10060125,web-OA,1
WEB-GarciaLleo2024,"Garcia Lleo et al., RSC Adv. 14 (2024)",10.1039/d4ra02406k,web-OA,2
[20],Gonzalez-Rodriguez 2016 ACSAMI,10.1021/acsami.6b02541,folder-PDF,2
[54],Gulzar 2017 Tribol Trans,10.1080/10402004.2016.1202366,folder-PDF,4
[15],Guo 2015 RSC Adv,10.1039/c5ra19522e,folder-PDF,3
[30],Hernandez Battez 2008 Wear,10.1016/j.wear.2007.11.013,folder-PDF,4
WEB-Hargitai2025,Investigation of the Tribological Effects of Nano-Sized Transition Metal Oxides on a Base Oil Containing Pour Point Depressant and Viscosity Modifier,10.3390/chemengineering9010001,web-OA,6
[55],Jatti & Singh 2015 J Mech Sci Technol,10.1007/s12206-015-0141-y,folder-PDF,3
[25],Jiao 2011 Appl Surf Sci,10.1016/j.apsusc.2011.01.084,folder-PDF,4
[69],Kotia 2019 J Alloys Compd,10.1016/j.jallcom.2018.12.215,folder-PDF,2
[23],Kumara 2017 ACSAMI,10.1021/acsami.7b13683,folder-PDF,3
[49],Luo 2014 Ceram Int,10.1016/j.ceramint.2014.03.181,folder-PDF,3
[9],Mao 2021 Friction,10.1007/s40544-019-0327-x,folder-PDF,5
WEB-Nagarajan2022,"Nagarajan et al., Sci. Rep. 12 (2022)",10.1038/s41598-022-16026-4,web-OA,4
WEB-Nagarajan2023,"Nagarajan et al., Sci. Rep. 13 (2023)",10.1038/s41598-023-39216-0,web-OA,4
[19],Padgurskas 2013 Tribol Int,10.1016/j.triboint.2012.10.024,folder-PDF,6
[60],Pena-Paras 2017 Wear,10.1016/j.wear.2017.01.044,folder-PDF,3
[10],Peng 2009 Tribol Int,10.1016/j.triboint.2008.12.015,folder-PDF,3
[37],Pourpasha 2021 Sci Rep,10.1038/s41598-021-90625-5,folder-PDF,4
[41],Rabaso 2014 Wear,10.1016/j.wear.2014.09.001,folder-PDF,2
[42],Rajendhran 2018 Tribol Int,10.1016/j.triboint.2018.03.030,folder-PDF,1
[39],Reyes 2016 Tribol Lett,10.1007/s11249-016-0778-4,folder-PDF,4
WEB-Nguyen2020,Scalable Fabrication of Modified Graphene Nanoplatelets as an Effective Additive for Engine Lubricant Oil,10.3390/nano10050877,web-OA,1
[51],Shaari 2015 J Teknologi,10.11113/jt.v76.5654,folder-PDF,3
[67],Srinivas 2017 Tribol Trans,10.1080/10402004.2016.1142034,folder-PDF,1
WEB-Hasan2025,Synergistic Effects of CuO and ZnO Nanoadditives on Friction and Wear in Automotive Base Oil,10.3390/app15158258,web-OA,4
WEB-Davim2022,Tribological Performance and Rheological Properties of Engine Oil with Graphene Nano-Additives,10.3390/lubricants10070137,web-OA,1
WEB-Barhoum2022,Tribological Performance for Steel-Steel Contact Interfaces Using Hybrid MWCNTs/Al2O3 Nanoparticles as Oil-Based Additives in Engines,10.3390/fluids7120364,web-OA,3
WEB-Luo2022,Tribological Properties of Polydopamine-Modified Ag as Lubricant Oil Additives,10.3390/lubricants10120343,web-OA,2
WEB-Higgs2024,"Tribological Properties of h-BN, Ag and MgO Nanostructures as Lubricant Additives in Vegetable Oils",10.3390/lubricants12030066,web-OA,7
[40],Wan 2014 J Nanopart Res,10.1007/s11051-014-2386-2,folder-PDF,2
[47],Wang 2018 Appl Surf Sci,10.1016/j.apsusc.2017.09.207,folder-PDF,3
[46],Wang 2020 Tribol Int,10.1016/j.triboint.2020.106228,folder-PDF,3
[70],Wu 2007 Wear,10.1016/j.wear.2006.08.021,folder-PDF,5
[27],Wu 2017 Tribol Int,10.1016/j.triboint.2017.01.013,folder-PDF,5
[17],Wu 2018 Tribol Int,10.1016/j.triboint.2017.08.011,folder-PDF,5
[29],Yang 2016 J Nanosci Nanotechnol,10.1166/jnn.2016.12394,folder-PDF,3
[43],Zhang 2007 Mater Sci Eng A,10.1016/j.msea.2006.11.072,folder-PDF,1
[18],Zhang 2011 Tribol Int,10.1016/j.triboint.2011.03.002,folder-PDF,5
[35],Zhang 2013 RSC Adv,10.1039/c3ra42478b,folder-PDF,3
[14],Zhang 2013 Vacuum,10.1016/j.vacuum.2012.07.009,folder-PDF,6
WEB-Zhang2020,"Zhang et al., Materials 13 (2020) 3669",10.3390/ma13173669,web-OA,1
WEB-Zhao2017,"Zhao et al., RSC Adv. 7 (2017) 1766",10.1039/c6ra26488c,web-OA,1
[44],Zhou 2017 Appl Surf Sci,10.1016/j.apsusc.2017.02.182,folder-PDF,1
